Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Josh Jacobs,491.9,21,13,13,242,1150,7,53,51,4.8,88.5,18.6,27,20,166,8.3,0,8,28,1.5,12.8,0.741,6.1,262,5,1316,7,1
Josh Jacobs,470,22,15,15,273,1065,12,61,28,3.9,71,18.2,45,33,238,7.2,0,9,29,2.2,15.9,0.733,5.3,306,4.3,1303,12,2
Josh Jacobs,734.9,23,15,14,217,872,9,45,28,4,58.1,14.5,64,54,348,6.4,0,14,29,3.6,23.2,0.844,5.4,271,4.5,1220,9,2
Derrick Henry,309,22,15,2,110,490,5,29,22,4.5,32.7,7.3,15,13,137,10.5,0,5,29,0.9,9.1,0.867,9.1,123,5.1,627,5,0
Derrick Henry,432.4,23,16,2,176,744,5,40,75,4.2,46.5,11,17,11,136,12.4,1,4,66,0.7,8.5,0.647,8,187,4.7,880,6,1
Derrick Henry,639.8,24,16,12,215,1059,12,50,99,4.9,66.2,13.4,18,15,99,6.6,0,4,21,0.9,6.2,0.833,5.5,230,5,1158,12,1
Derrick Henry,757.3,25,15,15,303,1540,16,73,74,5.1,102.7,20.2,24,18,206,11.4,2,4,75,1.2,13.7,0.75,8.6,321,5.4,1746,18,5
Derrick Henry,403.3,26,16,16,378,2027,17,98,94,5.4,126.7,23.6,31,19,114,6,0,4,53,1.2,7.1,0.613,3.7,397,5.4,2141,17,3
Derrick Henry,679.8,27,8,8,219,937,10,49,76,4.3,117.1,27.4,20,18,154,8.6,0,7,16,2.3,19.3,0.9,7.7,237,4.6,1091,10,1
Christian McCaffrey,766.5,21,16,10,117,435,2,22,40,3.7,27.2,7.3,113,80,651,8.1,5,37,37,5,40.7,0.708,5.8,197,5.5,1086,7,2
Christian McCaffrey,945.6,22,16,16,219,1098,7,53,59,5,68.6,13.7,124,107,867,8.1,6,41,38,6.7,54.2,0.863,7,326,6,1965,13,4
Christian McCaffrey,165.2,23,16,16,287,1387,15,57,84,4.8,86.7,17.9,142,116,1005,8.7,4,58,28,7.3,62.8,0.817,7.1,403,5.9,2392,19,1
Christian McCaffrey,282.5,24,3,3,59,225,5,14,15,3.8,75,19.7,19,17,149,8.8,1,8,24,5.7,49.7,0.895,7.8,76,4.9,374,6,0
Christian McCaffrey,725,25,7,7,99,442,1,20,18,4.5,63.1,14.1,41,37,343,9.3,1,21,32,5.3,49,0.902,8.4,136,5.8,785,2,1
Justin Jefferson,655,21,16,14,1,2,0,0,2,2,0.1,0.1,125,88,1400,15.9,7,58,71,5.5,87.5,0.704,11.2,89,15.8,1402,7,1
Justin Jefferson,731.9,22,17,17,6,14,0,1,11,2.3,0.8,0.4,167,108,1616,15,10,75,56,6.4,95.1,0.647,9.7,114,14.3,1630,10,1
Nick Chubb,609.6,23,16,9,192,996,8,47,92,5.2,62.3,12,29,20,149,7.5,2,5,24,1.3,9.3,0.69,5.1,212,5.4,1145,10,0
Nick Chubb,451.1,24,16,16,298,1494,8,62,88,5,93.4,18.6,49,36,278,7.7,0,13,32,2.3,17.4,0.735,5.7,334,5.3,1772,8,3
Nick Chubb,499.9,25,12,12,190,1067,12,56,59,5.6,88.9,15.8,18,16,150,9.4,0,6,26,1.3,12.5,0.889,8.3,206,5.9,1217,12,1
Nick Chubb,632.2,26,14,14,228,1259,8,61,70,5.5,89.9,16.3,25,20,174,8.7,1,9,40,1.4,12.4,0.8,7,248,5.8,1433,9,2
Tyreek Hill,485.6,22,16,1,24,267,3,11,70,11.1,16.7,1.5,83,61,593,9.7,6,31,49,3.8,37.1,0.735,7.1,85,10.1,860,9,4
Tyreek Hill,654,23,15,13,17,59,0,3,16,3.5,3.9,1.1,105,75,1183,15.8,7,40,79,5,78.9,0.714,11.3,92,13.5,1242,7,2
Tyreek Hill,364.9,24,16,16,22,151,1,7,33,6.9,9.4,1.4,137,87,1479,17,12,60,75,5.4,92.4,0.635,10.8,109,15,1630,13,0
